plane	wire	sx	sy	sz	ex	ey	ez
0	166	-6.34706e-14	59.5171	0.206489	-5.12016e-14	117.36	100.394	
0	167	-6.34706e-14	59.1707	0.206489	-5.11281e-14	117.36	100.994	
0	168	-6.34706e-14	58.8242	0.206489	-5.10546e-14	117.36	101.594	
0	169	-6.34706e-14	58.4778	0.206489	-5.09812e-14	117.36	102.194	
0	170	-6.34706e-14	58.1314	0.206489	-5.09077e-14	117.36	102.794	
0	171	-6.34706e-14	57.785	0.206489	-5.08342e-14	117.36	103.394	
0	172	-6.34706e-14	57.4386	0.206489	-5.07607e-14	117.36	103.994	
0	173	-6.34706e-14	57.0922	0.206489	-5.06873e-14	117.36	104.594	
0	174	-6.34706e-14	56.7458	0.206489	-5.06138e-14	117.36	105.194	
0	175	-6.34706e-14	56.3994	0.206489	-5.05403e-14	117.36	105.794	
0	176	-6.34706e-14	56.053	0.206489	-5.04668e-14	117.36	106.394	
0	177	-6.34706e-14	55.7066	0.206489	-5.03933e-14	117.36	106.994	
0	178	-6.34706e-14	55.3601	0.206489	-5.03199e-14	117.36	107.594	
0	179	-6.34706e-14	55.0137	0.206489	-5.02464e-14	117.36	108.194	
0	180	-6.34706e-14	54.6673	0.206489	-5.01729e-14	117.36	108.794	
0	181	-6.34706e-14	54.3209	0.206489	-5.00994e-14	117.36	109.394	
0	182	-6.34706e-14	53.9745	0.206489	-5.0026e-14	117.36	109.994	
0	183	-6.34706e-14	53.6281	0.206489	-4.99525e-14	117.36	110.594	
0	184	-6.34706e-14	53.2817	0.206489	-4.9879e-14	117.36	111.194	
0	185	-6.34706e-14	52.9353	0.206489	-4.98055e-14	117.36	111.794	
0	186	-6.34706e-14	52.5889	0.206489	-4.97321e-14	117.36	112.394	
0	187	-6.34706e-14	52.2425	0.206489	-4.96586e-14	117.36	112.994	
0	188	-6.34706e-14	51.896	0.206489	-4.95851e-14	117.36	113.594	
0	189	-6.34706e-14	51.5496	0.206489	-4.95116e-14	117.36	114.194	
0	190	-6.34706e-14	51.2032	0.206489	-4.94382e-14	117.36	114.794	
0	191	-6.34706e-14	50.8568	0.206489	-4.93647e-14	117.36	115.394	
0	192	-6.34706e-14	50.5104	0.206489	-4.92912e-14	117.36	115.994	
0	193	-6.34706e-14	50.164	0.206489	-4.92177e-14	117.36	116.594	
0	194	-6.34706e-14	49.8176	0.206489	-4.91442e-14	117.36	117.194	
0	195	-6.34706e-14	49.4712	0.206489	-4.90708e-14	117.36	117.794	
0	196	-6.34706e-14	49.1248	0.206489	-4.89973e-14	117.36	118.394	
0	197	-6.34706e-14	48.7783	0.206489	-4.89238e-14	117.36	118.994	
0	198	-6.34706e-14	48.4319	0.206489	-4.88503e-14	117.36	119.594	
0	199	-6.34706e-14	48.0855	0.206489	-4.87769e-14	117.36	120.194	
0	200	-6.34706e-14	47.7391	0.206489	-4.87034e-14	117.36	120.794	
0	201	-6.34706e-14	47.3927	0.206489	-4.86299e-14	117.36	121.394	
0	202	-6.34706e-14	47.0463	0.206489	-4.85564e-14	117.36	121.994	
0	203	-6.34706e-14	46.6999	0.206489	-4.8483e-14	117.36	122.594	
0	204	-6.34706e-14	46.3535	0.206489	-4.84095e-14	117.36	123.194	
0	205	-6.34706e-14	46.0071	0.206489	-4.8336e-14	117.36	123.794	
0	206	-6.34706e-14	45.6607	0.206489	-4.82625e-14	117.36	124.394	
0	207	-6.34706e-14	45.3142	0.206489	-4.81891e-14	117.36	124.994	
0	208	-6.34706e-14	44.9678	0.206489	-4.81156e-14	117.36	125.594	
0	209	-6.34706e-14	44.6214	0.206489	-4.80421e-14	117.36	126.194	
0	210	-6.34706e-14	44.275	0.206489	-4.79686e-14	117.36	126.794	
0	211	-6.34706e-14	43.9286	0.206489	-4.78951e-14	117.36	127.394	
0	212	-6.34706e-14	43.5822	0.206489	-4.78217e-14	117.36	127.994	
0	213	-6.34706e-14	43.2358	0.206489	-4.77482e-14	117.36	128.594	
0	214	-6.34706e-14	42.8894	0.206489	-4.76747e-14	117.36	129.194	
0	215	-6.34706e-14	42.543	0.206489	-4.76012e-14	117.36	129.794	
0	216	-6.34706e-14	42.1966	0.206489	-4.75278e-14	117.36	130.394	
0	217	-6.34706e-14	41.8501	0.206489	-4.74543e-14	117.36	130.994	
0	218	-6.34706e-14	41.5037	0.206489	-4.73808e-14	117.36	131.594	
0	219	-6.34706e-14	41.1573	0.206489	-4.73073e-14	117.36	132.194	
0	220	-6.34706e-14	40.8109	0.206489	-4.72339e-14	117.36	132.794	
0	221	-6.34706e-14	40.4645	0.206489	-4.71604e-14	117.36	133.394	
0	222	-6.34706e-14	40.1181	0.206489	-4.70869e-14	117.36	133.994	
0	223	-6.34706e-14	39.7717	0.206489	-4.70134e-14	117.36	134.594	
0	224	-6.34706e-14	39.4253	0.206489	-4.694e-14	117.36	135.194	
0	225	-6.34706e-14	39.0789	0.206489	-4.68665e-14	117.36	135.794	
0	226	-6.34706e-14	38.7325	0.206489	-4.6793e-14	117.36	136.394	
0	227	-6.34706e-14	38.386	0.206489	-4.67195e-14	117.36	136.994	
0	228	-6.34706e-14	38.0396	0.206489	-4.66461e-14	117.36	137.594	
0	229	-6.34706e-14	37.6932	0.206489	-4.65726e-14	117.36	138.194	
0	230	-6.34706e-14	37.3468	0.206489	-4.64991e-14	117.36	138.794	
0	231	-6.34706e-14	37.0004	0.206489	-4.64256e-14	117.36	139.394	
0	232	-6.34706e-14	36.654	0.206489	-4.63521e-14	117.36	139.994	
0	233	-6.34706e-14	36.3076	0.206489	-4.62787e-14	117.36	140.594	
0	234	-6.34706e-14	35.9612	0.206489	-4.62052e-14	117.36	141.194	
0	235	-6.34706e-14	35.6148	0.206489	-4.61317e-14	117.36	141.794	
0	236	-6.34706e-14	35.2684	0.206489	-4.60582e-14	117.36	142.394	
0	237	-6.34706e-14	34.9219	0.206489	-4.59848e-14	117.36	142.994	
0	238	-6.34706e-14	34.5755	0.206489	-4.59113e-14	117.36	143.594	
0	239	-6.34706e-14	34.2291	0.206489	-4.58378e-14	117.36	144.194	
0	240	-6.34706e-14	33.8827	0.206489	-4.57643e-14	117.36	144.794	
0	241	-6.34706e-14	33.5363	0.206489	-4.56909e-14	117.36	145.394	
0	242	-6.34706e-14	33.1899	0.206489	-4.56174e-14	117.36	145.994	
0	243	-6.34706e-14	32.8435	0.206489	-4.55439e-14	117.36	146.594	
0	244	-6.34706e-14	32.4971	0.206489	-4.54704e-14	117.36	147.194	
0	245	-6.34706e-14	32.1507	0.206489	-4.5397e-14	117.36	147.794	
0	246	-6.34706e-14	31.8043	0.206489	-4.53235e-14	117.36	148.394	
0	247	-6.34706e-14	31.4578	0.206489	-4.525e-14	117.36	148.994	
0	248	-6.34706e-14	31.1114	0.206489	-4.51765e-14	117.36	149.594	
0	249	-6.34706e-14	30.765	0.206489	-4.5103e-14	117.36	150.194	
0	250	-6.34706e-14	30.4186	0.206489	-4.50296e-14	117.36	150.794	
0	251	-6.34706e-14	30.0722	0.206489	-4.49561e-14	117.36	151.394	
0	252	-6.34706e-14	29.7258	0.206489	-4.48826e-14	117.36	151.994	
0	253	-6.34706e-14	29.3794	0.206489	-4.48091e-14	117.36	152.594	
0	254	-6.34706e-14	29.033	0.206489	-4.47357e-14	117.36	153.194	
0	255	-6.34706e-14	28.6866	0.206489	-4.46622e-14	117.36	153.794	
0	256	-6.34706e-14	28.3401	0.206489	-4.45887e-14	117.36	154.394	
0	257	-6.34706e-14	27.9937	0.206489	-4.45152e-14	117.36	154.994	
0	258	-6.34706e-14	27.6473	0.206489	-4.44418e-14	117.36	155.594	
0	259	-6.34706e-14	27.3009	0.206489	-4.43683e-14	117.36	156.194	
0	260	-6.34706e-14	26.9545	0.206489	-4.42948e-14	117.36	156.794	
0	261	-6.34706e-14	26.6081	0.206489	-4.42213e-14	117.36	157.394	
0	262	-6.34706e-14	26.2617	0.206489	-4.41479e-14	117.36	157.994	
0	263	-6.34706e-14	25.9153	0.206489	-4.40744e-14	117.36	158.594	
0	264	-6.34706e-14	25.5689	0.206489	-4.40009e-14	117.36	159.194	
0	265	-6.34706e-14	25.2225	0.206489	-4.39274e-14	117.36	159.794	
0	266	-6.34706e-14	24.876	0.206489	-4.38539e-14	117.36	160.394	
0	267	-6.34706e-14	24.5296	0.206489	-4.37805e-14	117.36	160.994	
0	268	-6.34706e-14	24.1832	0.206489	-4.3707e-14	117.36	161.594	
0	269	-6.34706e-14	23.8368	0.206489	-4.36335e-14	117.36	162.194	
0	270	-6.34706e-14	23.4904	0.206489	-4.356e-14	117.36	162.794	
0	271	-6.34706e-14	23.144	0.206489	-4.34866e-14	117.36	163.394	
0	272	-6.34706e-14	22.7976	0.206489	-4.34131e-14	117.36	163.994	
0	273	-6.34706e-14	22.4512	0.206489	-4.33396e-14	117.36	164.594	
0	274	-6.34706e-14	22.1048	0.206489	-4.32661e-14	117.36	165.194	
0	275	-6.34706e-14	21.7584	0.206489	-4.31927e-14	117.36	165.794	
0	276	-6.34706e-14	21.4119	0.206489	-4.31192e-14	117.36	166.394	
0	277	-6.34706e-14	21.0655	0.206489	-4.30457e-14	117.36	166.994	
0	278	-6.34706e-14	20.7191	0.206489	-4.29722e-14	117.36	167.594	
0	279	-6.34706e-14	20.3727	0.206489	-4.28988e-14	117.36	168.194	
0	280	-6.34706e-14	20.0263	0.206489	-4.28253e-14	117.36	168.794	
0	281	-6.34706e-14	19.6799	0.206489	-4.27518e-14	117.36	169.394	
0	282	-6.34706e-14	19.3335	0.206489	-4.26783e-14	117.36	169.994	
0	283	-6.34706e-14	18.9871	0.206489	-4.26048e-14	117.36	170.594	
0	284	-6.34706e-14	18.6407	0.206489	-4.25314e-14	117.36	171.194	
0	285	-6.34706e-14	18.2943	0.206489	-4.24579e-14	117.36	171.794	
